year,week,province,disease,cases
2019,36,10,ihd,142
2020,31,13,asthma,18
2018,44,74,ihd,4
2020,22,12,copd,240
2018,2,12,asthma,19
2019,19,13,ihd,19
2020,48,10,asthma,35
2022,45,73,copd,158
2020,4,11,ihd,59
2018,12,11,asthma,60
2018,3,10,copd,167
2022,20,74,ihd,11
2021,3,73,asthma,49
2020,9,74,copd,4
2019,29,12,ihd,56
2019,47,13,copd,222
2020,14,10,ihd,43
2022,30,73,ihd,19
2020,19,73,copd,129
2020,28,74,asthma,7
2022,48,74,copd,47
2019,39,11,ihd,44
2018,22,10,asthma,10
2018,5,13,asthma,21
2019,44,74,copd,54
2020,38,73,asthma,64
2021,13,12,asthma,20
2021,23,11,asthma,50
2018,2,74,asthma,5
2020,22,74,copd,110
2020,4,73,ihd,47
2021,14,10,copd,409
2022,40,12,ihd,92
2021,16,13,asthma,35
2018,12,73,asthma,11
2021,33,10,asthma,22
2019,29,74,ihd,8
2022,50,11,ihd,19
2021,7,12,copd,261
2021,17,11,copd,180
2020,49,10,copd,472
2019,39,73,ihd,47
2021,26,12,asthma,25
2020,32,13,copd,172
2020,14,12,ihd,39
2022,43,13,ihd,42
2020,42,12,copd,74
2018,22,12,asthma,3
2021,13,74,asthma,4
2020,24,11,ihd,56
2020,51,13,asthma,24
2018,13,11,copd,15
2019,7,10,asthma,57
2018,32,11,asthma,3
2021,23,73,asthma,9
2019,49,12,ihd,64
2018,23,10,copd,150
2020,17,13,ihd,33
2020,52,11,copd,234
2020,34,10,ihd,161
2018,6,13,copd,160
2022,40,74,ihd,8
2018,42,10,asthma,69
2021,7,74,copd,116
2018,16,12,copd,139
2020,27,12,ihd,18
2018,25,13,asthma,49
2022,50,73,ihd,2
2018,35,12,asthma,6
2021,26,74,asthma,2
2022,1,13,asthma,21
2018,8,10,ihd,54
2018,26,11,copd,202
2021,17,73,copd,157
2019,52,13,ihd,34
2020,14,74,ihd,11
2022,18,10,asthma,48
2018,22,74,asthma,3
2022,2,11,copd,211
2020,42,74,copd,111
2018,13,73,copd,5
2022,11,12,asthma,40
2020,24,73,ihd,53
2021,17,13,copd,8
2021,9,11,ihd,58
2021,36,13,asthma,4
2019,49,74,ihd,6
2022,12,10,copd,478
2020,52,73,copd,215
2021,27,12,copd,175
2022,21,11,asthma,39
2018,32,73,asthma,5
2022,5,12,copd,29
2020,27,74,ihd,3
2018,16,74,copd,139
2021,37,11,copd,21
2021,19,10,ihd,112
2021,2,13,ihd,39
2021,46,12,asthma,38
2022,52,11,copd,8
2021,47,10,copd,570
2018,26,73,copd,216
2019,10,13,asthma,42
2021,30,13,copd,99
2019,27,10,asthma,38
2019,1,12,copd,155
2021,12,12,ihd,77
2018,35,74,asthma,4
2022,11,74,asthma,7
2019,20,12,asthma,19
2019,11,11,copd,211
2021,22,11,ihd,5
2020,37,13,ihd,39
2020,5,10,asthma,40
2018,26,13,copd,5
2022,2,73,copd,169
2019,30,11,asthma,54
2021,9,73,ihd,36
2018,36,12,copd,24
2018,18,11,ihd,30
2019,21,10,copd,462
2019,4,13,copd,264
2021,27,74,copd,104
2018,45,13,asthma,41
2022,21,73,asthma,55
2020,47,12,ihd,28
2019,40,10,asthma,3
2022,5,74,copd,15
2021,46,74,asthma,8
2018,11,13,ihd,35
2021,37,73,copd,16
2018,46,11,copd,233
2022,52,73,copd,12
2018,28,10,ihd,25
2018,21,12,ihd,34
2021,12,74,ihd,20
2022,31,12,asthma,38
2019,1,74,copd,92
2020,44,73,ihd,1
2022,22,11,copd,94
2022,32,10,copd,483
2022,15,13,copd,76
2021,22,73,ihd,8
2019,11,73,copd,300
2019,20,74,asthma,5
2022,41,11,asthma,41
2018,31,11,ihd,10
2022,51,10,asthma,7
2020,47,74,ihd,5
2021,22,13,ihd,28
2022,25,12,copd,195
2020,5,12,asthma,4
2019,30,73,asthma,8
2021,39,10,ihd,74
2018,18,73,ihd,20
2022,7,11,ihd,59
2022,34,13,asthma,20
2018,36,74,copd,74
2022,17,10,ihd,190
2020,15,11,asthma,32
2018,46,73,copd,289
2020,6,10,copd,506
2021,50,13,copd,160
2021,32,12,ihd,51
2022,44,12,asthma,3
2022,35,11,copd,148
2022,22,73,copd,64
2022,31,74,asthma,9
2019,40,12,asthma,20
2020,8,13,asthma,62
2018,21,74,ihd,8
2020,25,10,asthma,27
2019,31,11,copd,83
2021,42,11,ihd,55
2020,18,12,asthma,30
2022,41,73,asthma,67
2019,6,12,ihd,76
2021,52,10,ihd,148
2019,41,10,copd,635
2019,24,13,copd,220
2021,35,13,ihd,20
2018,31,73,ihd,29
2019,50,11,asthma,33
2020,9,11,copd,223
2019,16,11,ihd,47
2022,7,73,ihd,36
2019,43,13,asthma,30
2022,25,74,copd,79
2018,48,10,ihd,22
2019,34,12,copd,239
2020,5,74,asthma,1
2018,1,11,ihd,3
2018,31,13,ihd,15
2021,32,74,ihd,10
2019,26,10,ihd,135
2019,9,13,ihd,19
2019,44,11,copd,169
2018,41,12,ihd,78
2020,15,73,asthma,10
2022,35,73,copd,134
2021,42,73,ihd,23
2018,51,11,ihd,59
2019,40,74,asthma,2
2019,31,73,copd,95
2022,35,13,copd,80
2022,17,12,ihd,4
2019,6,74,ihd,7
2020,18,74,asthma,1
2021,10,10,asthma,16
2018,44,13,ihd,22
2020,9,73,copd,260
2022,45,12,copd,215
2022,27,11,ihd,66
2019,50,73,asthma,32
2018,1,73,ihd,9
2022,20,13,ihd,38
2019,16,73,ihd,50
2021,3,12,asthma,51
2019,34,74,copd,131
2022,37,10,ihd,169
2020,9,13,copd,3
2021,4,10,copd,532
2018,41,74,ihd,14
2020,28,13,asthma,28
2022,48,13,copd,87
2020,19,12,copd,157
2020,45,10,asthma,33
2022,30,12,ihd,41
2021,13,11,asthma,28
2019,44,73,copd,165
2020,1,11,ihd,29
2020,11,10,ihd,150
2018,9,11,asthma,13
2022,17,74,ihd,1
2018,51,73,ihd,102
2020,29,11,copd,227
2019,44,13,copd,52
2020,38,12,asthma,63
2019,36,11,ihd,56
2018,19,10,asthma,4
2022,45,74,copd,150
2018,2,13,asthma,41
2020,4,12,ihd,68
2020,39,10,copd,514
2020,22,13,copd,155
2020,48,11,asthma,35
2022,27,73,ihd,29
2018,12,12,asthma,6
2019,29,13,ihd,19
2019,46,10,ihd,175
2020,14,11,ihd,14
2018,3,11,copd,195
2021,3,74,asthma,7
2020,1,73,ihd,25
2021,13,73,asthma,6
2018,13,10,copd,133
2020,19,74,copd,74
2018,22,11,asthma,41
2019,39,12,ihd,53
2022,30,74,ihd,10
2021,13,13,asthma,18
2020,29,73,copd,238
2020,38,74,asthma,7
2018,9,73,asthma,2
2021,30,10,asthma,2
2021,53,74,asthma,2
2021,23,12,asthma,53
2020,48,73,asthma,38
2020,4,74,ihd,16
2019,36,73,ihd,34
2021,14,11,copd,183
2022,40,13,ihd,43
2022,8,10,asthma,38
2021,33,11,asthma,28
2022,50,12,ihd,38
2021,7,13,copd,150
2021,24,10,copd,338
2020,14,73,ihd,24
2018,12,74,asthma,8
2018,3,73,copd,268
2020,49,11,copd,188
2018,22,73,asthma,9
2020,14,13,ihd,20
2021,26,13,asthma,21
2021,17,12,copd,236
2021,43,10,asthma,28
2020,31,10,ihd,14
2019,39,74,ihd,14
2020,24,12,ihd,74
2020,42,13,copd,154
2018,22,13,asthma,25
2018,13,12,copd,6
2019,7,11,asthma,46
2021,14,73,copd,156
2020,52,12,copd,53
2018,5,10,ihd,28
2019,17,10,asthma,57
2018,23,11,copd,193
2020,34,11,ihd,59
2021,23,74,asthma,8
2019,49,13,ihd,21
2018,32,12,asthma,9
2018,33,10,copd,126
2020,27,13,ihd,12
2021,33,73,asthma,4
2020,44,10,ihd,148
2018,16,13,copd,155
2022,50,74,ihd,12
2018,42,11,asthma,47
2021,17,74,copd,92
2018,26,12,copd,159
2018,8,11,ihd,40
2022,9,10,copd,467
2020,49,73,copd,147
2022,18,11,asthma,23
2018,35,13,asthma,48
2018,52,10,asthma,39
2020,24,74,ihd,13
2019,7,73,asthma,75
2018,13,74,copd,5
2022,28,10,asthma,17
2022,2,12,copd,168
2022,11,13,asthma,23
2021,44,10,copd,495
2020,52,74,copd,110
2020,34,73,ihd,43
2018,32,74,asthma,16
2018,23,73,copd,224
2021,27,13,copd,164
2022,21,12,asthma,30
2022,12,11,copd,207
2021,9,12,ihd,63
2021,19,11,ihd,47
2022,5,13,copd,13
2021,37,12,copd,24
2022,52,12,copd,10
2022,22,10,copd,241
2021,46,13,asthma,30
2020,2,10,asthma,38
2018,42,73,asthma,20
2019,18,10,copd,338
2019,27,11,asthma,65
2019,1,13,copd,117
2021,29,10,ihd,116
2021,12,13,ihd,30
2018,26,74,copd,121
2022,18,73,asthma,22
2021,47,11,copd,199
2018,8,73,ihd,152
2019,11,12,copd,262
2020,5,11,asthma,55
2019,20,13,asthma,34
2021,22,12,ihd,13
2019,37,10,asthma,28
2022,2,74,copd,95
2018,18,12,ihd,35
2020,47,13,ihd,20
2018,36,13,copd,22
2019,30,12,asthma,8
2022,12,73,copd,220
2021,9,74,ihd,18
2019,21,11,copd,227
2019,3,10,ihd,171
2022,21,74,asthma,8
2019,40,11,asthma,19
2019,31,10,copd,345
2018,28,11,ihd,23
2018,46,12,copd,264
2021,19,73,ihd,32
2021,37,74,copd,43
2022,52,74,copd,2
2022,48,10,asthma,3
2021,47,73,copd,189
2019,27,73,asthma,73
2022,22,12,copd,69
2022,31,13,asthma,49
2018,21,13,ihd,26
2020,5,73,asthma,38
2021,22,74,ihd,5
2019,11,74,copd,108
2022,32,11,copd,175
2022,14,10,ihd,163
2022,41,12,asthma,25
2018,31,12,ihd,9
2022,51,11,asthma,6
2018,18,74,ihd,5
2019,30,74,asthma,31
2021,39,11,ihd,17
2019,21,73,copd,187
2022,25,13,copd,156
2022,7,12,ihd,70
2022,42,10,copd,543
2022,17,11,ihd,53
2018,46,74,copd,119
2019,40,73,asthma,1
2020,15,12,asthma,32
2021,32,13,ihd,26
2022,44,13,asthma,13
2020,6,11,copd,258
2018,28,73,ihd,92
2021,49,10,ihd,169
2022,35,12,copd,107
2019,31,12,copd,73
2021,42,12,ihd,54
2022,22,74,copd,45
2019,40,13,asthma,30
2019,1,10,copd,85
2020,16,10,copd,431
2020,25,11,asthma,44
2022,32,73,copd,151
2019,50,12,asthma,22
2021,52,11,ihd,41
2019,6,13,ihd,31
2018,31,74,ihd,4
2020,9,12,copd,229
2020,18,13,asthma,16
2022,41,74,asthma,12
2019,41,11,copd,275
2019,23,10,ihd,97
2020,35,10,asthma,44
2021,39,73,ihd,19
2019,34,13,copd,228
2019,51,10,copd,678
2022,7,74,ihd,12
2018,48,11,ihd,2
2022,51,73,asthma,10
2019,16,12,ihd,56
2019,26,11,ihd,37
2018,41,13,ihd,26
2019,44,12,copd,205
2022,35,74,copd,58
2018,9,10,asthma,4
2020,15,74,asthma,7
2022,17,73,ihd,30
2020,6,73,copd,248
2022,17,13,ihd,1
2018,51,12,ihd,55
2020,25,73,asthma,28
2021,42,74,ihd,18
2019,31,74,copd,44
2019,41,73,copd,261
2020,9,74,copd,119
2019,50,74,asthma,10
2021,10,11,asthma,50
2022,45,13,copd,187
2022,27,12,ihd,65
2021,52,73,ihd,28
2021,1,10,copd,550
2018,48,73,ihd,5
2023,52,11,ihd,1
2021,20,10,asthma,25
2021,3,13,asthma,14
2022,37,11,ihd,63
2019,16,74,ihd,9
2019,44,74,copd,88
2021,4,11,copd,193
2022,47,10,ihd,172
2020,45,11,asthma,39
2020,1,12,ihd,25
2020,36,10,copd,391
2020,19,13,copd,229
2021,13,12,asthma,25
2022,30,13,ihd,39
2019,26,73,ihd,127
2020,29,12,copd,271
2018,51,74,ihd,17
2020,38,13,asthma,21
2020,11,11,ihd,51
2018,9,12,asthma,2
2021,53,13,asthma,5
2020,21,10,ihd,145
2021,10,73,asthma,7
2020,48,12,asthma,8
2019,36,12,ihd,64
2022,27,74,ihd,18
2018,19,11,asthma,71
2018,10,10,copd,147
2020,39,11,copd,213
2020,4,13,ihd,30
2020,14,12,ihd,19
2019,46,11,ihd,61
2018,12,13,asthma,44
2018,29,10,asthma,15
2022,37,73,ihd,16
2020,49,10,copd,104
2018,3,12,copd,151
2018,13,11,copd,181
2019,39,13,ihd,28
2020,45,73,asthma,37
2021,4,73,copd,187
2018,22,12,asthma,12
2022,5,10,asthma,32
2020,1,74,ihd,2
2021,13,74,asthma,3
2020,11,73,ihd,36
2020,29,74,copd,115
2020,48,74,asthma,5
2020,39,73,copd,173
2022,8,11,asthma,27
2021,14,12,copd,235
2018,19,73,asthma,21
2021,23,13,asthma,29
2019,36,74,ihd,13
2021,40,10,asthma,41
2018,3,74,copd,148
2020,14,74,ihd,3
2019,46,73,ihd,56
2021,24,11,copd,195
2022,50,13,ihd,36
2021,6,10,ihd,118
2021,33,12,asthma,34
2020,49,12,copd,53
2021,34,10,copd,228
2018,13,73,copd,166
2021,17,13,copd,212
2018,22,74,asthma,4
2021,43,11,asthma,40
2019,14,10,asthma,49
2020,31,11,ihd,3
2020,24,13,ihd,25
2020,41,10,ihd,181
2018,13,13,copd,7
2019,7,12,asthma,28
2020,52,13,copd,202
2018,23,12,copd,186
2018,49,10,asthma,30
2022,8,73,asthma,96
2019,17,11,asthma,38
2018,32,13,asthma,67
2018,5,11,ihd,16
2021,14,74,copd,116
2020,34,12,ihd,59
2019,8,10,copd,748
2020,44,11,ihd,47
2021,24,73,copd,128
2021,33,74,asthma,7
2018,15,10,ihd,27
2018,33,11,copd,29
2018,42,12,asthma,23
2018,26,13,copd,144
2020,49,74,copd,120
2021,43,73,asthma,54
2022,18,12,asthma,36
2018,43,10,copd,627
2022,9,11,copd,161
2018,8,12,ihd,26
2018,52,11,asthma,54
2022,19,10,copd,463
2022,28,11,asthma,18
2019,7,74,asthma,2
2018,18,11,ihd,7
2022,2,13,copd,158
2021,26,10,ihd,77
2020,34,74,ihd,8
2021,9,13,ihd,37
2019,17,73,asthma,79
2018,5,73,ihd,35
2021,44,11,copd,207
2022,21,13,asthma,17
2022,38,10,asthma,43
2022,12,12,copd,137
2018,23,74,copd,125
2018,33,73,copd,99
2021,19,12,ihd,80
2022,22,11,copd,84
2022,52,13,copd,9
2020,2,11,asthma,61
2020,44,73,ihd,34
2022,4,10,ihd,186
2021,37,13,copd,42
2018,42,74,asthma,6
2022,9,73,copd,126
2019,27,12,asthma,25
2018,8,74,ihd,16
2020,44,13,ihd,1
2021,29,11,ihd,34
2018,52,73,asthma,92
2019,18,11,copd,118
2020,12,10,asthma,36
2022,18,74,asthma,10
2021,47,12,copd,246
2019,37,11,asthma,76
2019,28,10,copd,708
2020,5,12,asthma,21
2021,22,13,ihd,6
2018,18,73,ihd,10
2019,11,13,copd,193
2021,39,10,ihd,1
2022,28,73,asthma,36
2019,30,13,asthma,53
2019,47,10,asthma,26
2019,21,12,copd,263
2018,18,13,ihd,29
2019,3,11,ihd,34
2021,44,73,copd,194
2022,12,74,copd,91
2018,35,10,ihd,1
2022,22,73,copd,97
2021,19,74,ihd,14
2019,31,11,copd,79
2018,28,12,ihd,32
2020,2,73,asthma,39
2019,40,12,asthma,3
2019,13,10,ihd,157
2018,46,13,copd,175
2019,27,74,asthma,16
2021,47,74,copd,108
2019,18,73,copd,125
2022,39,10,copd,43
2022,48,11,asthma,8
2021,29,73,ihd,28
2022,22,13,copd,67
2018,31,13,ihd,5
2022,41,13,asthma,34
2019,37,73,asthma,16
2022,32,12,copd,147
2022,14,11,ihd,58
2018,48,10,ihd,141
2020,5,74,asthma,8
2019,21,74,copd,120
2022,42,11,copd,238
2022,51,12,asthma,11
2022,7,13,ihd,33
2019,3,73,ihd,119
2021,39,12,ihd,18
2022,24,10,ihd,183
2022,52,10,copd,9
2020,15,13,asthma,23
2020,6,12,copd,275
2022,17,12,ihd,60
2019,31,73,copd,60
2020,32,10,asthma,39
2022,35,13,copd,90
2021,49,11,ihd,50
2018,28,74,ihd,14
2019,40,74,asthma,1
2020,16,11,copd,123
2021,42,13,ihd,40
2019,48,10,copd,38
2019,31,13,copd,71
2022,48,73,asthma,1
2019,1,11,copd,16
2020,25,12,asthma,34
2021,52,12,ihd,28
2020,26,10,copd,531
2020,9,13,copd,247
2019,23,11,ihd,45
2018,6,10,asthma,2
2019,50,13,asthma,43
2022,32,74,copd,65
2019,41,12,copd,155
2020,35,11,asthma,51
2022,14,73,ihd,25
2019,33,10,ihd,165
2019,51,11,copd,233
2022,51,74,asthma,8
2018,48,12,ihd,3
2022,42,73,copd,253
2018,1,13,ihd,3
2019,16,13,ihd,20
2021,39,74,ihd,2
2021,49,73,ihd,31
2020,6,74,copd,125
2019,44,13,copd,157
2022,17,74,ihd,15
2018,9,11,asthma,67
2019,26,12,ihd,60
2019,1,73,copd,23
2018,51,13,ihd,43
2020,16,73,copd,134
2020,25,74,asthma,52
2021,17,10,asthma,1
2022,44,10,ihd,108
2019,41,74,copd,119
2021,52,74,ihd,13
2022,27,13,ihd,42
2021,10,12,asthma,32
2020,35,73,asthma,37
2021,1,11,copd,189
2019,23,73,ihd,139
2021,20,11,asthma,45
2021,11,10,copd,438
2018,48,74,ihd,2
2019,51,73,copd,229
2022,37,12,ihd,77
2022,47,11,ihd,112
2020,1,13,ihd,19
2021,4,12,copd,160
2020,18,10,ihd,40
2021,30,10,asthma,8
2020,45,12,asthma,6
2019,26,74,ihd,15
2021,13,13,asthma,31
2020,36,11,copd,101
2018,9,73,asthma,61
2018,9,13,asthma,26
2020,46,10,copd,657
2020,11,12,ihd,78
2020,29,13,copd,221
2018,19,12,asthma,6
2021,10,74,asthma,2
2020,48,13,asthma,24
2019,4,10,asthma,81
2018,10,11,copd,188
2020,39,12,copd,204
2021,1,73,copd,254
2020,21,11,ihd,54
2019,36,13,ihd,27
2018,29,11,asthma,57
2020,31,10,ihd,74
2018,3,13,copd,191
2022,37,74,ihd,12
2020,14,13,ihd,13
2020,49,11,copd,45
2019,46,12,ihd,60
2021,20,73,asthma,7
2018,20,10,copd,139
2021,4,74,copd,72
2022,47,73,ihd,20
2018,22,13,asthma,30
2020,45,74,asthma,5
2022,5,11,asthma,26
2018,13,12,copd,137
2020,36,73,copd,114
2018,5,10,ihd,30
2020,11,74,ihd,9
2022,15,10,asthma,12
2021,14,13,copd,160
2020,21,73,ihd,34
2018,19,74,asthma,4
2021,31,10,copd,261
2022,8,12,asthma,38
2018,10,73,copd,170
2020,39,74,copd,129
2021,40,11,asthma,41
2018,29,73,asthma,71
2021,6,11,ihd,64
2020,49,73,copd,83
2021,33,13,asthma,20
2019,46,74,ihd,10
2022,9,10,copd,102
2021,24,12,copd,216
2021,50,10,asthma,45
2021,34,11,copd,99
2018,13,74,copd,146
2020,49,13,copd,168
2021,43,12,asthma,47
2019,5,10,copd,203
2021,16,10,ihd,156
2019,14,11,asthma,72
2022,5,73,asthma,22
2020,31,12,ihd,3
2019,24,10,asthma,48
2020,41,11,ihd,50
2019,7,13,asthma,52
2020,34,13,ihd,36
2019,17,12,asthma,23
2019,8,11,copd,185
2022,8,74,asthma,9
2018,49,11,asthma,46
2020,51,10,ihd,158
2018,40,10,copd,734
2018,23,13,copd,185
2018,5,12,ihd,22
2021,40,73,asthma,32
2021,6,73,ihd,22
2020,44,12,ihd,21
2018,33,12,copd,116
2021,24,74,copd,112
2018,15,11,ihd,21
2019,18,10,copd,336
2018,42,13,asthma,36
2018,43,11,copd,203
2021,43,74,asthma,5
2022,35,10,asthma,27
2019,14,73,asthma,108
2018,8,13,ihd,28
2018,52,12,asthma,12
2022,18,13,asthma,29
2020,31,74,ihd,1
2018,25,10,ihd,32
2021,34,73,copd,130
2022,9,12,copd,151
2020,41,73,ihd,53
2018,18,12,ihd,6
2022,1,10,ihd,184
2022,19,11,copd,202
2022,28,12,asthma,12
2022,29,10,copd,619
2022,12,13,copd,193
2021,44,12,copd,236
2019,17,74,asthma,10
2019,8,73,copd,260
2018,49,73,asthma,74
2018,5,74,ihd,8
2022,38,11,asthma,59
2021,26,11,ihd,25
2022,22,12,copd,75
2022,48,10,asthma,26
2020,2,12,asthma,17
2018,33,74,copd,124
2020,44,74,ihd,15
2022,4,11,ihd,63
2021,19,13,ihd,32
2021,36,10,ihd,62
2018,15,73,ihd,44
2019,27,13,asthma,34
2018,52,74,asthma,4
2018,43,73,copd,199
2021,29,12,ihd,51
2022,9,74,copd,87
2020,3,10,copd,671
2020,12,11,asthma,63
2019,44,10,asthma,8
2021,47,13,copd,152
2019,18,12,copd,185
2020,5,13,asthma,31
2019,28,11,copd,220
2018,18,74,ihd,1
2022,28,74,asthma,1
2019,37,12,asthma,16
2022,19,73,copd,151
2020,22,10,asthma,38
2019,10,10,ihd,173
2021,26,73,ihd,11
2022,38,73,asthma,15
2019,3,12,ihd,63
2019,47,11,asthma,75
2019,38,10,copd,576
2019,21,13,copd,269
2021,44,74,copd,128
2019,13,11,ihd,47
2020,2,74,asthma,9
2019,40,13,asthma,6
2022,4,73,ihd,45
2018,45,10,ihd,153
2022,22,74,copd,40
2018,28,13,ihd,20
2019,31,12,copd,92
2020,12,73,asthma,41
2021,29,74,ihd,15
2019,18,74,copd,88
2022,39,11,copd,14
2022,48,12,asthma,12
2022,32,13,copd,129
2018,48,11,ihd,41
2019,37,74,asthma,7
2022,49,10,copd,88
2019,28,73,copd,255
2022,14,12,ihd,68
2022,51,13,asthma,25
2021,39,13,ihd,7
2022,24,11,ihd,65
2019,3,74,ihd,10
2018,35,73,ihd,2
2022,42,12,copd,224
2021,7,10,asthma,26
2019,47,73,asthma,49
2020,6,13,copd,213
2020,23,10,copd,402
2022,17,13,ihd,38
2021,49,12,ihd,57
2020,32,11,asthma,52
2019,31,74,copd,58
2019,13,73,ihd,49
2022,52,11,copd,26
2022,34,10,ihd,186
2020,25,13,asthma,21
2020,42,10,asthma,35
2022,48,74,asthma,2
2020,16,12,copd,171
2019,48,11,copd,8
2022,39,73,copd,10
2019,1,12,copd,10
2020,35,12,asthma,35
2021,52,13,ihd,26
2019,41,13,copd,179
2019,23,12,ihd,68
2020,8,10,ihd,141
2018,6,11,asthma,55
2018,48,73,ihd,134
2020,26,11,copd,182
2022,14,74,ihd,11
2019,33,11,ihd,33
2019,51,12,copd,275
2022,42,74,copd,113
2018,16,10,asthma,1
2020,36,10,copd,112
2022,24,73,ihd,20
2018,48,13,ihd,4
2019,26,13,ihd,22
2019,43,10,ihd,145
2022,52,73,copd,18
2020,32,73,asthma,37
2021,49,74,ihd,17
2018,9,12,asthma,4
2020,16,74,copd,83
2019,1,74,copd,10
2021,17,11,asthma,2
2019,48,73,copd,19
2021,1,12,copd,196
2022,44,11,ihd,63
2021,27,10,asthma,44
2021,10,13,asthma,23
2019,23,74,ihd,7
2020,35,74,asthma,93
2020,26,73,copd,202
2018,6,73,asthma,59
2021,20,12,asthma,46
2019,51,74,copd,148
2021,11,11,copd,180
2022,37,13,ihd,49
2022,5,10,asthma,9
2019,33,73,ihd,42
2021,30,11,asthma,13
2021,4,13,copd,182
2018,9,74,asthma,3
2021,21,10,copd,306
2020,18,11,ihd,13
2020,36,12,copd,145
2020,45,13,asthma,31
2022,47,12,ihd,61
2019,1,10,asthma,39
2020,28,10,ihd,129
2020,46,11,copd,253
2018,26,11,asthma,3
2020,11,13,ihd,38
2018,19,13,asthma,57
2018,10,12,copd,157
2021,1,74,copd,120
2018,36,10,asthma,7
2020,39,13,copd,191
2020,21,12,ihd,68
2022,44,73,ihd,31
2019,4,11,asthma,87
2021,11,73,copd,169
2018,2,10,ihd,42
2020,49,12,copd,20
2021,20,74,asthma,7
2019,46,13,ihd,30
2020,31,11,ihd,27
2018,29,12,asthma,10
2018,20,11,copd,151
2018,30,10,copd,143
2018,13,13,copd,147
2020,36,74,copd,82
2021,30,73,asthma,4
2022,5,12,asthma,23
2020,18,73,ihd,13
2022,47,74,ihd,14
2018,5,11,ihd,16
2022,6,10,copd,564
2018,26,73,asthma,3
2022,15,11,asthma,27
2020,46,73,copd,244
2021,40,12,asthma,51
2022,8,13,asthma,23
2022,25,10,asthma,54
2021,31,11,copd,115
2021,13,10,ihd,82
2018,10,74,copd,127
2020,21,74,ihd,7
2019,4,73,asthma,82
2021,50,11,asthma,49
2020,31,73,ihd,38
2020,49,74,copd,24
2021,24,13,copd,166
2021,41,10,copd,463
2021,6,12,ihd,75
2022,9,11,copd,25
2018,29,74,asthma,54
2018,20,73,copd,154
2020,31,13,ihd,4
2019,14,12,asthma,19
2022,5,74,asthma,3
2021,16,11,ihd,80
2021,34,12,copd,153
2021,43,13,asthma,21
2019,5,11,copd,73
2018,5,73,ihd,132
2019,15,10,copd,626
2020,41,12,ihd,31
2019,24,11,asthma,82
2021,26,10,ihd,73
2022,15,73,asthma,35
2019,8,12,copd,240
2021,31,73,copd,119
2018,22,10,ihd,11
2018,49,12,asthma,17
2018,40,11,copd,234
2019,34,10,asthma,37
2018,5,13,ihd,9
2021,40,74,asthma,4
2019,17,13,asthma,54
2020,51,11,ihd,60
2021,50,73,asthma,42
2019,18,11,copd,115
2018,50,10,copd,551
2018,15,12,ihd,44
2020,44,13,ihd,37
2018,33,13,copd,154
2022,9,73,copd,54
2021,6,74,ihd,11
2019,14,74,asthma,9
2022,26,10,copd,136
2021,34,74,copd,78
2022,35,11,asthma,11
2018,43,12,copd,225
2021,16,73,ihd,41
2019,5,73,copd,69
2018,52,13,asthma,46
2018,25,11,ihd,40
2022,9,13,copd,154
2022,28,13,asthma,13
2020,41,74,ihd,14
2022,1,11,ihd,69
2018,35,10,ihd,26
2018,18,13,ihd,4
2022,45,10,asthma,68
2019,24,73,asthma,98
2022,19,12,copd,173
2020,51,73,ihd,45
2021,26,12,ihd,15
2021,44,13,copd,146
2018,49,74,asthma,3
2018,40,73,copd,168
2022,38,12,asthma,31
2019,8,74,copd,122
2022,29,11,copd,213
2022,11,10,ihd,165
2020,2,13,asthma,45
2022,22,13,copd,60
2021,36,11,ihd,8
2020,19,10,asthma,26
2022,39,10,copd,517
2022,4,12,ihd,65
2019,18,73,copd,160
2022,48,11,asthma,49
2018,15,74,ihd,9
2019,44,11,asthma,9
2020,3,11,copd,258
2020,12,12,asthma,55
2021,46,10,ihd,192
2018,25,73,ihd,98
2021,29,13,ihd,31
2022,35,73,asthma,6
2018,43,74,copd,126
2019,35,10,copd,21
2019,18,13,copd,144
2022,1,73,ihd,48
2022,19,74,copd,80
2019,28,12,copd,241
2021,39,12,ihd,4
2019,10,11,ihd,37
2020,22,11,asthma,62
2020,13,10,copd,571
2019,37,13,asthma,57
2022,38,74,asthma,20
2021,26,74,ihd,9
2019,3,13,ihd,29
2019,20,10,ihd,168
2019,47,12,asthma,18
2022,29,73,copd,198
2019,38,11,copd,196
2018,35,12,ihd,4
2020,9,73,asthma,1
2019,31,13,copd,121
2018,45,11,ihd,54
2019,13,12,ihd,46
2021,36,73,ihd,1
2022,48,73,asthma,8
2022,4,74,ihd,13
2019,48,10,copd,637
2020,12,74,asthma,5
2019,44,73,asthma,7
2020,3,73,copd,289
2022,39,12,copd,15
2022,48,13,asthma,18
2022,14,13,ihd,40
2022,31,10,ihd,212
2019,10,73,ihd,159
2021,39,74,ihd,1
2018,48,12,ihd,48
2022,49,11,copd,58
2020,22,73,asthma,28
2019,28,74,copd,120
2019,38,73,copd,197
2022,24,12,ihd,65
2021,7,11,asthma,47
2019,47,74,asthma,4
2022,42,13,copd,201
2022,52,12,copd,45
2022,34,11,ihd,92
2021,49,13,ihd,31
2020,23,11,copd,132
2018,45,73,ihd,169
2020,5,10,ihd,25
2019,13,74,ihd,17
2021,17,10,asthma,22
2020,32,12,asthma,40
2019,48,12,copd,5
2022,44,10,ihd,25
2020,33,10,copd,628
2020,16,13,copd,122
2019,1,13,copd,11
